Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
5,0,39.5,1,1,4
5,0,39.5,1,3,3
5,0,39.5,1,2,3
5,0,39.5,1,0,6
5,0,39.5,0,1,6
5,0,39.5,0,3,1
5,0,39.5,0,2,1
5,0,39.5,0,0,12
5,0,49.5,1,1,3
5,0,49.5,1,3,1
5,0,49.5,1,2,3
5,0,49.5,1,0,3
5,0,49.5,0,1,8
5,0,49.5,0,3,1
5,0,49.5,0,0,5
5,0,59.5,1,1,3
5,0,59.5,1,3,1
5,0,59.5,1,2,1
5,0,59.5,1,0,1
5,0,59.5,0,1,4
5,0,59.5,0,3,1
5,0,59.5,0,2,1
5,0,59.5,0,0,4
6,1,29.5,1,1,3949
6,1,29.5,1,3,1438
6,1,29.5,1,2,2877
6,1,29.5,1,0,3311
6,1,29.5,0,1,2688
6,1,29.5,0,3,735
6,1,29.5,0,2,1599
6,1,29.5,0,0,2722
6,1,39.5,1,1,5767
6,1,39.5,1,3,2225
6,1,39.5,1,2,3190
6,1,39.5,1,0,3649
6,1,39.5,0,1,2808
6,1,39.5,0,3,719
6,1,39.5,0,2,1257
6,1,39.5,0,0,2290
6,1,49.5,1,1,8056
6,1,49.5,1,3,2568
6,1,49.5,1,2,2702
6,1,49.5,1,0,3424
6,1,49.5,0,1,3985
6,1,49.5,0,3,729
6,1,49.5,0,2,875
6,1,49.5,0,0,2045
6,1,59.5,1,1,6950
6,1,59.5,1,3,1864
6,1,59.5,1,2,1425
6,1,59.5,1,0,2051
6,1,59.5,0,1,11400
6,1,59.5,0,3,1799
6,1,59.5,0,2,1419
6,1,59.5,0,0,3401
6,2,29.5,1,1,18993
6,2,29.5,1,3,9300
6,2,29.5,1,2,13637
6,2,29.5,1,0,10592
6,2,29.5,0,1,3856
6,2,29.5,0,3,1340
6,2,29.5,0,2,3001
6,2,29.5,0,0,3189
6,2,39.5,1,1,25012
6,2,39.5,1,3,12728
6,2,39.5,1,2,14302
6,2,39.5,1,0,10675
6,2,39.5,0,1,3552
6,2,39.5,0,3,1141
6,2,39.5,0,2,1912
6,2,39.5,0,0,2472
6,2,49.5,1,1,41974
6,2,49.5,1,3,16924
6,2,49.5,1,2,12933
6,2,49.5,1,0,12040
6,2,49.5,0,1,6736
6,2,49.5,0,3,1365
6,2,49.5,0,2,1744
6,2,49.5,0,0,2886
6,2,59.5,1,1,35994
6,2,59.5,1,3,11831
6,2,59.5,1,2,6528
6,2,59.5,1,0,7728
6,2,59.5,0,1,35118
6,2,59.5,0,3,6577
6,2,59.5,0,2,3965
6,2,59.5,0,0,7659
6,3,29.5,1,1,11781
6,3,29.5,1,3,7526
6,3,29.5,1,2,5429
6,3,29.5,1,0,3852
6,3,29.5,0,1,2885
6,3,29.5,0,3,1199
6,3,29.5,0,2,1320
6,3,29.5,0,0,1629
6,3,39.5,1,1,10354
6,3,39.5,1,3,6574
6,3,39.5,1,2,4580
6,3,39.5,1,0,3235
6,3,39.5,0,1,1440
6,3,39.5,0,3,536
6,3,39.5,0,2,727
6,3,39.5,0,0,840
6,3,49.5,1,1,11248
6,3,49.5,1,3,5605
6,3,49.5,1,2,2820
6,3,49.5,1,0,2450
6,3,49.5,0,1,1340
6,3,49.5,0,3,286
6,3,49.5,0,2,365
6,3,49.5,0,0,666
6,3,59.5,1,1,8261
6,3,59.5,1,3,3014
6,3,59.5,1,2,1174
6,3,59.5,1,0,1424
6,3,59.5,0,1,4068
6,3,59.5,0,3,781
6,3,59.5,0,2,433
6,3,59.5,0,0,952
6,4,29.5,1,1,12933
6,4,29.5,1,3,10405
6,4,29.5,1,2,3779
6,4,29.5,1,0,2651
6,4,29.5,0,1,2646
6,4,29.5,0,3,1196
6,4,29.5,0,2,921
6,4,29.5,0,0,1223
6,4,39.5,1,1,13735
6,4,39.5,1,3,10394
6,4,39.5,1,2,3953
6,4,39.5,1,0,2744
