C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-1;3686
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-2;1220
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-3;2199
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-4;3241
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-1;8202
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-2;3805
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-3;4333
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-4;4236
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-1;3428
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-2;1122
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-3;1804
B00-3;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-4;2502
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-1;11415
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-2;4523
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-3;3701
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-4;4234
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-1;4458
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-2;1135
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-3;1282
B00-3;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-4;2456
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-1;9961
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-2;3281
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-3;2021
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-4;2789
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-1;14727
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-2;3166
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-3;1964
B00-3;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-4;4816
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-1;24628
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-2;14458
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-3;16738
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-4;12169
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-1;4506
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-2;1972
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-3;4093
B00-3;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-4;3688
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-1;32188
